%1. Title of Database: Abalone data
%
%%2. Sources:
%
%   (a) Original owners of database:
%	Marine Resources Division
%	Marine Research Laboratories - Taroona
%	Department of Primary Industry and Fisheries, Tasmania
%	GPO Box 619F, Hobart, Tasmania 7001, Australia
%	(contact: Warwick Nash +61 02 277277, wnash@dpi.tas.gov.au)
%
%   (b) Donor of database:
%	Sam Waugh (Sam.Waugh@cs.utas.edu.au)
%	Department of Computer Science, University of Tasmania
%	GPO Box 252C, Hobart, Tasmania 7001, Australia
%
%   (c) Date received: December 1995
%
%
%3. Past Usage:
%
%   Sam Waugh (1995) "Extending and benchmarking Cascade-Correlation", PhD
%   thesis, Computer Science Department, University of Tasmania.
%
%   -- Test set performance (final 1044 examples, first 3133 used for training):
%	24.86% Cascade-Correlation (no hidden nodes)
%	26.25% Cascade-Correlation (5 hidden nodes)
%	21.5%  C4.5
%	 0.0%  Linear Discriminate Analysis
%	 3.57% k=5 Nearest Neighbour
%      (Problem encoded as a classification task)
%
%   -- Data set samples are highly overlapped.  Further information is required
%	to separate completely using affine combinations.  Other restrictions
%	to data set examined.
%
%   David Clark, Zoltan Schreter, Anthony Adams "A Quantitative Comparison of
%   Dystal and Backpropagation", submitted to the Australian Conference on
%   Neural Networks (ACNN'96). Data set treated as a 3-category classification
%   problem (grouping ring classes 1-8, 9 and 10, and 11 on).
%
%   -- Test set performance (3133 training, 1044 testing as above):
%	64%    Backprop
%	55%    Dystal
%   -- Previous work (Waugh, 1995) on same data set:
%	61.40% Cascade-Correlation (no hidden nodes)
%	65.61% Cascade-Correlation (5 hidden nodes)
%	59.2%  C4.5
%	32.57% Linear Discriminate Analysis
%	62.46% k=5 Nearest Neighbour
%
%
%4. Relevant Information Paragraph:
%
%   Predicting the age of abalone from physical measurements.  The age of
%   abalone is determined by cutting the shell through the cone, staining it,
%   and counting the number of rings through a microscope -- a boring and
%   time-consuming task.  Other measurements, which are easier to obtain, are
%   used to predict the age.  Further information, such as weather patterns
%   and location (hence food availability) may be required to solve the problem.
%
%   From the original data examples with missing values were removed (the
%   majority having the predicted value missing), and the ranges of the
%   continuous values have been scaled for use with an ANN (by dividing by 200).
%
%   Data comes from an original (non-machine-learning) study:
%
%	Warwick J Nash, Tracy L Sellers, Simon R Talbot, Andrew J Cawthorn and
%	Wes B Ford (1994) "The Population Biology of Abalone (_Haliotis_
%	species) in Tasmania. I. Blacklip Abalone (_H. rubra_) from the North
%	Coast and Islands of Bass Strait", Sea Fisheries Division, Technical
%	Report No. 48 (ISSN 1034-3288)
%
%
%5. Number of Instances: 4177
%
%
%6. Number of Attributes: 8
%
%
%7. Attribute information:
%
%   Given is the attribute name, attribute type, the measurement unit and a
%   brief description.  The number of rings is the value to predict: either
%   as a continuous value or as a classification problem.
%
%	Name		Data Type	Meas.	Description
%	----		---------	-----	-----------
%	Sex		nominal			M, F, and I (infant)
%	Length		continuous	mm	Longest shell measurement
%	Diameter	continuous	mm	perpendicular to length
%	Height		continuous	mm	with meat in shell
%	Whole weight	continuous	grams	whole abalone
%	Shucked weight	continuous	grams	weight of meat
%	Viscera weight	continuous	grams	gut weight (after bleeding)
%	Shell weight	continuous	grams	after being dried
%	Rings		integer			+1.5 gives the age in years
%
%   Statistics for numeric domains:
%
%		Length	Diam	Height	Whole	Shucked	Viscera	Shell	Rings
%	Min	0.075	0.055	0.000	0.002	0.001	0.001	0.002	    1
%	Max	0.815	0.650	1.130	2.826	1.488	0.760	1.005	   29
%	Mean	0.524	0.408	0.140	0.829	0.359	0.181	0.239	9.934
%	SD	0.120	0.099	0.042	0.490	0.222	0.110	0.139	3.224
%	Correl	0.557	0.575	0.557	0.540	0.421	0.504	0.628	  1.0
%
%
%8. Missing Attribute Values: None
%
%
%9. Class Distribution:
%
%	Class	Examples
%	-----	--------
%	1	1
%	2	1
%	3	15
%	4	57
%	5	115
%	6	259
%	7	391
%	8	568
%	9	689
%	10	634
%	11	487
%	12	267
%	13	203
%	14	126
%	15	103
%	16	67
%	17	58
%	18	42
%	19	32
%	20	26
%	21	14
%	22	6
%	23	9
%	24	2
%	25	1
%	26	1
%	27	2
%	29	1
%	-----	----
%	Total	4177
%
%@attribute Rings {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29}

@relation abalone
@attribute Sex {M, F, I}
@attribute Length real
@attribute Diameter real
@attribute Height real
@attribute Whole_weight	real
@attribute Shucked_weight real
@attribute Viscera_weight real
@attribute Shell_weight real
@attribute Rings real
@data
I,0.375,0.245,0.1,0.394,0.166,0.091,0.1125,6
F,0.6,0.5,0.155,1.332,0.6235,0.2835,0.35,8
I,0.55,0.445,0.11,0.7935,0.378,0.142,0.26,10
M,0.52,0.415,0.175,0.753,0.258,0.171,0.255,8
F,0.47,0.375,0.125,0.5615,0.252,0.137,0.18,10
M,0.625,0.505,0.215,1.4455,0.496,0.287,0.435,22
F,0.545,0.43,0.165,0.802,0.2935,0.183,0.28,11
I,0.475,0.375,0.115,0.5205,0.233,0.119,0.1455,7
I,0.515,0.395,0.125,0.5805,0.2365,0.1075,0.19,9
M,0.6,0.475,0.15,1.089,0.5195,0.223,0.292,11
M,0.625,0.465,0.14,1.195,0.4825,0.205,0.4,13
I,0.475,0.35,0.125,0.4225,0.1905,0.079,0.1355,9
I,0.405,0.3,0.085,0.3035,0.15,0.0505,0.088,7
M,0.61,0.475,0.15,1.142,0.62,0.237,0.245,9
I,0.255,0.195,0.055,0.0725,0.0285,0.017,0.021,4
F,0.595,0.465,0.145,1.107,0.402,0.2415,0.31,12
F,0.605,0.475,0.165,1.056,0.433,0.2195,0.357,9
M,0.345,0.27,0.09,0.195,0.078,0.0455,0.059,9
I,0.385,0.29,0.1,0.2575,0.1,0.061,0.086,6
M,0.56,0.425,0.135,0.9415,0.509,0.2015,0.1975,9
M,0.395,0.295,0.115,0.316,0.1205,0.0595,0.1105,12
I,0.53,0.42,0.155,0.81,0.4725,0.111,0.192,10
I,0.245,0.19,0.06,0.086,0.042,0.014,0.025,4
I,0.53,0.42,0.14,0.6765,0.256,0.1855,0.208,9
I,0.495,0.385,0.125,0.5125,0.2075,0.1155,0.172,10
M,0.545,0.42,0.125,0.9745,0.353,0.174,0.305,13
I,0.59,0.465,0.195,1.0885,0.3685,0.187,0.375,17
F,0.505,0.395,0.145,0.6515,0.2695,0.153,0.205,15
M,0.29,0.23,0.075,0.1165,0.043,0.0255,0.04,7
M,0.62,0.5,0.165,1.307,0.6355,0.2545,0.315,9
F,0.69,0.54,0.155,1.454,0.624,0.3105,0.39,9
M,0.615,0.53,0.17,1.12,0.5775,0.2095,0.286,9
I,0.45,0.36,0.125,0.45,0.191,0.0865,0.145,12
I,0.41,0.31,0.11,0.315,0.124,0.082,0.095,9
I,0.495,0.375,0.12,0.589,0.3075,0.1215,0.1405,8
F,0.575,0.48,0.165,1.078,0.511,0.2095,0.306,9
I,0.39,0.29,0.09,0.2625,0.117,0.054,0.077,7
I,0.34,0.25,0.075,0.1765,0.0785,0.0405,0.05,7
M,0.57,0.45,0.145,0.95,0.4005,0.2235,0.2845,10
M,0.65,0.52,0.21,1.6785,0.6665,0.308,0.46,11
M,0.68,0.52,0.195,1.4535,0.592,0.391,0.4125,10
F,0.655,0.515,0.155,1.309,0.524,0.346,0.385,11
M,0.52,0.465,0.15,0.9505,0.456,0.199,0.255,8
I,0.615,0.49,0.155,0.9885,0.4145,0.195,0.345,13
I,0.375,0.28,0.08,0.2345,0.1125,0.0455,0.067,6
I,0.52,0.38,0.115,0.6645,0.3285,0.17,0.1425,7
I,0.32,0.24,0.075,0.1735,0.076,0.0355,0.05,7
M,0.62,0.45,0.2,0.858,0.4285,0.1525,0.2405,8
M,0.65,0.525,0.205,1.4275,0.69,0.306,0.4355,13
F,0.63,0.5,0.185,1.383,0.54,0.3315,0.38,10
M,0.65,0.515,0.175,1.466,0.677,0.3045,0.4,10
M,0.53,0.405,0.15,0.8315,0.352,0.187,0.2525,10
F,0.66,0.53,0.17,1.326,0.519,0.2625,0.44,13
M,0.5,0.39,0.135,0.6595,0.3145,0.1535,0.1565,6
I,0.615,0.46,0.19,1.066,0.4335,0.226,0.33,13
I,0.13,0.095,0.035,0.0105,0.005,0.0065,0.0035,4
M,0.54,0.42,0.155,0.7385,0.3515,0.152,0.215,12
F,0.63,0.475,0.15,1.072,0.433,0.2975,0.315,8
F,0.645,0.515,0.15,1.212,0.515,0.2055,0.385,10
F,0.58,0.44,0.18,0.854,0.3665,0.1635,0.245,12
I,0.48,0.335,0.125,0.524,0.246,0.1095,0.145,7
I,0.315,0.23,0.08,0.1375,0.0545,0.031,0.0445,5
M,0.515,0.4,0.16,0.8175,0.2515,0.156,0.3,23
M,0.5,0.37,0.15,1.0615,0.494,0.223,0.296,9
F,0.645,0.52,0.19,1.3105,0.58,0.288,0.37,12
M,0.33,0.245,0.085,0.171,0.0655,0.0365,0.055,11
F,0.665,0.51,0.175,1.3805,0.675,0.2985,0.325,10
F,0.725,0.58,0.185,1.523,0.8045,0.3595,0.4375,9
I,0.405,0.31,0.09,0.312,0.138,0.06,0.087,8
F,0.615,0.5,0.165,1.1765,0.488,0.244,0.345,17
F,0.56,0.455,0.16,0.967,0.4525,0.207,0.274,9
I,0.435,0.345,0.12,0.4475,0.221,0.112,0.125,7
M,0.62,0.465,0.185,1.274,0.579,0.3065,0.32,12
I,0.55,0.425,0.15,0.639,0.269,0.1345,0.217,9
F,0.45,0.345,0.12,0.4165,0.1655,0.095,0.135,9
I,0.535,0.45,0.135,0.728,0.2845,0.1845,0.265,9
I,0.37,0.285,0.095,0.226,0.1135,0.0515,0.0675,8
I,0.27,0.195,0.06,0.073,0.0285,0.0235,0.03,5
I,0.575,0.455,0.16,0.9895,0.495,0.195,0.246,9
M,0.605,0.475,0.15,1.15,0.575,0.232,0.297,10
M,0.64,0.53,0.165,1.1895,0.4765,0.3,0.35,11
M,0.545,0.435,0.165,0.9955,0.3245,0.2665,0.325,19
M,0.6,0.46,0.17,1.1805,0.456,0.337,0.329,11
M,0.61,0.475,0.165,1.116,0.428,0.2205,0.315,15
M,0.465,0.355,0.125,0.5255,0.2025,0.135,0.145,13
M,0.455,0.35,0.11,0.458,0.2,0.111,0.1305,8
M,0.55,0.415,0.175,1.042,0.3295,0.2325,0.2905,15
M,0.74,0.595,0.19,2.3235,1.1495,0.5115,0.505,11
F,0.46,0.355,0.13,0.517,0.2205,0.114,0.165,9
F,0.61,0.49,0.17,1.1775,0.5655,0.2385,0.295,15
M,0.565,0.435,0.15,0.99,0.5795,0.1825,0.206,8
I,0.33,0.205,0.095,0.1595,0.077,0.032,0.0435,5
F,0.595,0.48,0.2,0.975,0.358,0.2035,0.34,15
F,0.71,0.55,0.17,1.614,0.743,0.345,0.45,11
M,0.58,0.45,0.155,0.8275,0.321,0.1975,0.2445,8
I,0.56,0.435,0.135,0.72,0.329,0.103,0.251,11
I,0.385,0.295,0.085,0.2535,0.103,0.0575,0.085,7
F,0.38,0.325,0.11,0.3105,0.12,0.074,0.105,10
M,0.61,0.475,0.155,0.983,0.4565,0.228,0.266,10
F,0.535,0.4,0.135,0.8215,0.3935,0.196,0.205,8
F,0.49,0.37,0.105,0.5265,0.249,0.1005,0.148,7
I,0.515,0.42,0.135,0.711,0.337,0.144,0.205,13
I,0.475,0.36,0.11,0.4555,0.177,0.0965,0.145,9
M,0.6,0.47,0.155,1.036,0.4375,0.196,0.325,20
F,0.64,0.5,0.15,1.0705,0.371,0.2705,0.36,8
F,0.6,0.46,0.15,1.235,0.6025,0.274,0.29,8
M,0.53,0.42,0.165,0.8945,0.319,0.239,0.245,11
F,0.61,0.485,0.165,1.087,0.4255,0.232,0.38,11
I,0.375,0.275,0.09,0.218,0.093,0.0405,0.0755,6
